,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,30621,25368,5254,17,1184,1596,1110,3732,20,2994,21.53,
2023-03-01,32456,26798,5658,17,662,1634,1194,3492,14,2998,21.2,
2023-06-01,33892,27642,6249,18,1065,1719,1128,4468,18,3684,28.21,
2023-09-01,34436,28706,5730,17,812,1835,1139,3568,30,2484,18.88,
2023-12-01,35299,29075,6224,18,756,1945,1123,3912,24,2977,21.38,
2024-03-01,35452,28848,6604,19,750,1989,1335,4030,22,3125,22.15,
2024-06-01,37218,29975,7243,19,733,2108,1248,4621,23,3546,26.4,
2024-09-01,37924,30790,7133,19,1126,2217,1302,4740,29,3361,25.5,
2024-12-01,41470,33239,8231,20,719,2362,1495,5092,29,3624,25.58,
2025-03-01,42599,34688,7911,19,1141,2397,2029,4627,23,3542,26.5,
2025-06-01,45529,37301,8228,18,1395,2431,1548,5644,22,4377,32.84,
2025-09-01,46106,37166,8940,19,1134,2347,1669,6058,35,3964,29.54,
2025-12-01,52100,41939,10160,20,976,2405,2163,6569,24,5021,37.59,
